device,hour,day,temperature,humidity,power,duration,energy
Agricultural Sensor,8,15,26.18,22.63,3.9999,0.9944,0.003978
Edge Gateway,14,31,40.86,59.85,28.7106,6.6368,0.190547
Wearable Device,17,1,29.61,84.45,0.2626,3.5905,0.000943
Agricultural Sensor,20,25,31.34,87.79,3.0594,0.7216,0.002208
Industrial Sensor,12,14,20.95,57.84,10.6411,6.3608,0.067686
Health Monitor,20,5,31.89,52.07,0.8714,3.1279,0.002726
Industrial Sensor,7,11,30.43,86.15,9.486,0.4072,0.003863
Edge Gateway,13,16,19.99,67.15,20.2819,5.1569,0.104592
Wearable Device,7,2,16.61,24.54,0.3501,2.8712,0.001005
EV Charger,13,8,31.32,52.6,37.95,7.1633,0.271847
Edge Gateway,6,11,35.62,36.82,23.0987,3.1162,0.07198
Smart Thermostat,22,29,29.13,52.89,2.5695,7.0049,0.017999
Smart Camera,11,18,21.12,51.88,8.7023,0.1669,0.001452
Edge Gateway,10,3,33.0,60.75,30.9593,3.1539,0.097643
Health Monitor,21,30,17.16,44.97,0.7706,6.6165,0.005099
Health Monitor,21,26,26.93,31.5,0.9739,3.0434,0.002964
Edge Gateway,10,1,19.41,55.26,26.8215,4.9022,0.131484
Agricultural Sensor,21,11,19.98,78.11,2.5122,4.9399,0.01241
Smart Camera,12,16,20.46,66.48,6.9019,3.0337,0.020938
Smart Thermostat,17,18,25.44,43.69,2.4982,7.2953,0.018225
Edge Gateway,1,30,16.38,85.49,23.2681,1.6802,0.039095
Agricultural Sensor,20,16,25.74,83.85,3.7844,3.8218,0.014463
Health Monitor,14,23,28.82,34.65,0.8824,8.0,0.007059
Health Monitor,19,10,28.05,22.76,0.7865,4.0487,0.003184
Wearable Device,17,18,25.34,71.89,0.2523,1.5593,0.000393
Edge Gateway,14,6,37.66,77.93,23.2225,4.2032,0.097609
Smart Camera,18,31,18.92,87.75,8.8874,6.5807,0.058485
Smart Meter,22,19,28.65,82.29,1.8132,6.2872,0.0114
Smart Camera,23,4,16.68,62.04,8.4917,2.5819,0.021925
Health Monitor,11,27,16.92,57.1,0.6441,5.7434,0.003699
Health Monitor,12,31,30.49,21.95,0.9296,2.1583,0.002006
Industrial Sensor,21,13,30.28,37.27,15.3109,6.9605,0.106572
Health Monitor,10,24,38.71,52.17,0.7626,7.2082,0.005497
Smart Thermostat,4,14,30.06,64.0,2.6392,0.7035,0.001857
Smart Lighting,0,3,40.91,59.01,8.5291,0.5022,0.004283
Edge Gateway,23,10,16.31,71.98,22.3605,3.1729,0.070948
Smart Camera,2,6,17.65,39.58,8.9228,2.8339,0.025286
Smart Lighting,21,1,16.19,59.55,4.5398,7.2066,0.032717
Agricultural Sensor,18,23,20.0,26.17,3.421,7.1524,0.024468
Smart Meter,22,24,29.61,48.96,1.4584,4.4293,0.00646
Smart Thermostat,6,27,32.43,72.51,3.3873,2.1326,0.007224
Smart Camera,11,14,16.23,68.54,9.4349,4.4584,0.042065
Smart Lighting,14,8,40.54,89.34,7.7974,0.5545,0.004324
Smart Meter,4,19,37.74,39.45,2.2132,2.4458,0.005413
Industrial Sensor,14,14,23.01,54.87,12.9156,4.1421,0.053498
Smart Thermostat,7,10,17.08,43.07,2.4106,2.1368,0.005151
Smart Thermostat,9,17,19.59,50.84,3.0296,4.1209,0.012485
Industrial Sensor,15,9,18.43,79.99,15.1289,4.0353,0.06105
Edge Gateway,7,29,18.33,67.89,24.9671,0.6329,0.015802
Industrial Sensor,0,6,29.0,81.77,15.7856,0.9707,0.015323
Smart Thermostat,11,11,21.64,34.25,2.6625,1.4049,0.003741
Smart Thermostat,4,25,24.67,81.14,2.6379,0.7083,0.001868
Smart Lighting,2,7,41.72,24.18,6.5571,3.1646,0.020751
Health Monitor,0,17,33.48,82.2,0.7197,0.5738,0.000413
Smart Meter,3,28,40.62,43.04,1.4395,0.9409,0.001354
Industrial Sensor,7,28,18.85,42.02,10.2475,1.9563,0.020047
Smart Meter,2,1,25.32,55.85,1.875,2.0182,0.003784
Industrial Sensor,9,22,29.98,85.85,11.8519,1.3664,0.016194
Agricultural Sensor,1,5,17.07,23.34,3.0829,2.5981,0.00801
Smart Thermostat,10,9,15.11,44.66,3.1303,6.3531,0.019887
Health Monitor,9,18,33.1,79.96,0.7877,2.0248,0.001595
Smart Lighting,20,24,32.33,47.72,6.2605,2.4305,0.015216
Health Monitor,13,27,26.09,33.94,0.6577,7.5601,0.004972
Health Monitor,6,21,28.22,49.74,0.6237,2.6991,0.001683
Health Monitor,1,2,26.22,46.99,0.9635,2.295,0.002211
Smart Meter,8,29,15.65,84.08,1.8449,0.7996,0.001475
Industrial Sensor,15,26,24.06,73.34,14.1919,3.4543,0.049023
EV Charger,12,11,19.78,55.36,36.2429,4.5685,0.165576
Agricultural Sensor,8,27,17.66,89.19,3.3171,1.6305,0.005409
Smart Camera,19,28,40.83,52.57,8.1605,3.691,0.03012
Health Monitor,3,6,31.18,24.08,0.7208,1.9892,0.001434
Edge Gateway,21,26,34.67,38.36,19.554,2.7363,0.053506
Smart Meter,9,8,23.51,50.52,1.4573,6.3195,0.009209
Smart Lighting,21,4,25.61,30.98,5.5463,6.7896,0.037657
Smart Camera,11,18,21.4,86.33,6.741,2.7065,0.018245
EV Charger,16,28,17.62,73.68,57.2351,6.7754,0.387791
Edge Gateway,13,11,19.83,38.78,22.4244,0.9683,0.021714
EV Charger,13,5,36.53,61.36,38.8583,6.7681,0.262997
Smart Camera,1,15,33.29,70.5,7.5858,0.5727,0.004344
Health Monitor,20,28,29.77,85.89,0.8899,0.8051,0.000716
Edge Gateway,19,18,27.83,81.71,19.6939,5.22,0.102802
EV Charger,10,2,39.91,56.06,60.0,3.8783,0.232698
Smart Lighting,15,31,16.96,74.23,7.5219,7.3223,0.055078
Industrial Sensor,18,22,22.58,59.35,10.4845,3.0192,0.031655
Smart Thermostat,22,11,24.45,58.69,2.5049,2.4185,0.006058
Industrial Sensor,5,26,36.13,28.03,9.5317,1.6723,0.01594
Smart Camera,23,25,41.8,28.83,10.308,1.5308,0.015779
Smart Meter,18,13,21.5,57.07,1.7386,2.871,0.004992
Smart Thermostat,4,4,38.61,38.82,2.401,2.2822,0.00548
Agricultural Sensor,3,22,37.43,21.47,2.929,2.4902,0.007294
Smart Lighting,14,7,21.07,70.6,6.617,6.8886,0.045582
Agricultural Sensor,3,29,25.78,22.27,3.1636,3.1642,0.01001
Edge Gateway,19,11,26.06,61.67,21.2369,2.2566,0.047923
Smart Thermostat,9,22,41.41,57.74,3.1037,5.8071,0.018023
Agricultural Sensor,23,24,19.88,87.82,3.3435,1.3359,0.004467
Agricultural Sensor,21,4,36.58,53.89,4.2223,5.4989,0.023218
EV Charger,2,28,24.02,24.45,36.1871,1.5941,0.057686
Industrial Sensor,4,15,34.73,58.62,15.15,3.2303,0.048939
EV Charger,5,1,26.34,78.88,51.5039,2.3933,0.123264
Smart Thermostat,20,23,30.62,89.78,2.0743,7.6747,0.01592
Smart Thermostat,21,3,37.48,50.12,3.0555,6.7463,0.020613
Smart Camera,7,14,36.71,42.42,9.0026,2.9432,0.026496
EV Charger,6,6,38.39,83.47,60.0,2.6636,0.159816
Wearable Device,20,18,16.61,33.39,0.2362,3.7774,0.000892
Industrial Sensor,9,25,33.69,63.08,14.0161,2.1391,0.029982
Smart Thermostat,5,1,18.78,48.4,2.3351,1.2602,0.002943
Smart Camera,13,6,26.23,22.88,11.1552,0.3099,0.003457
EV Charger,3,6,29.81,44.31,43.0454,1.7458,0.075149
Industrial Sensor,12,21,25.87,38.57,15.7581,4.14,0.065239
EV Charger,19,16,29.03,68.03,58.3893,4.2995,0.251045
Agricultural Sensor,16,29,41.91,86.42,3.1222,7.8448,0.024493
Smart Camera,22,5,18.65,38.76,9.9834,7.3505,0.073383
Industrial Sensor,6,17,33.24,76.8,16.592,0.601,0.009972
Health Monitor,3,10,25.69,23.88,0.7129,1.2557,0.000895
Edge Gateway,13,28,18.59,57.67,24.1112,3.4993,0.084372
Edge Gateway,2,21,19.29,24.94,25.3963,1.2293,0.03122
Industrial Sensor,23,18,40.63,85.38,11.826,2.6132,0.030904
EV Charger,4,7,38.75,73.64,35.9984,1.746,0.062853
Smart Camera,15,3,39.49,66.06,7.9284,4.6696,0.037022
Edge Gateway,22,13,41.77,77.67,24.5612,6.8888,0.169197
Smart Camera,19,15,20.62,65.33,8.3186,6.5168,0.054211
Edge Gateway,3,20,24.6,87.83,20.9542,0.5078,0.010641
Agricultural Sensor,23,19,33.07,69.98,4.18,2.346,0.009806
EV Charger,23,3,28.06,84.73,52.7984,1.466,0.077402
Agricultural Sensor,1,4,26.3,56.2,2.5418,1.0211,0.002595
Edge Gateway,17,5,24.66,28.19,28.0254,0.5451,0.015277
Health Monitor,18,1,31.03,56.97,0.9276,3.9993,0.00371
Health Monitor,18,4,30.54,28.88,1.0724,2.9579,0.003172
Agricultural Sensor,16,12,19.36,61.47,2.3019,2.137,0.004919
Health Monitor,13,28,27.74,53.77,0.7181,5.6379,0.004049
Edge Gateway,18,27,29.94,63.58,32.9837,6.2289,0.205452
Industrial Sensor,21,24,30.4,20.7,15.8999,2.0838,0.033132
Agricultural Sensor,23,10,20.67,33.64,3.6449,0.2463,0.000898
Smart Meter,12,23,35.04,54.39,2.2537,6.8551,0.015449
EV Charger,11,25,15.68,86.54,33.9889,0.2287,0.007773
Health Monitor,5,21,24.58,46.85,0.8322,3.0513,0.002539
Health Monitor,20,29,36.07,49.71,0.7399,5.1082,0.00378
Smart Thermostat,3,31,30.23,70.03,2.1708,1.107,0.002403
Wearable Device,18,26,22.05,62.27,0.3598,2.0972,0.000755
Agricultural Sensor,15,20,33.76,40.92,2.7359,0.2211,0.000605
Smart Lighting,12,24,30.32,48.76,6.2589,2.0102,0.012582
Health Monitor,3,25,36.5,35.24,1.0952,0.5252,0.000575
EV Charger,22,13,34.85,87.62,40.0953,4.9861,0.199919
Smart Meter,16,23,31.47,29.14,2.448,1.4657,0.003588
Health Monitor,22,14,28.18,46.03,1.0782,4.3262,0.004665
Smart Meter,0,23,18.6,21.81,1.8584,1.9548,0.003633
Edge Gateway,17,5,22.06,35.52,20.6695,2.5045,0.051767
Edge Gateway,19,4,26.32,74.63,23.2942,0.427,0.009947
Wearable Device,16,14,31.18,34.08,0.3062,0.4443,0.000136
Industrial Sensor,14,10,28.87,25.6,11.276,0.3581,0.004038
Smart Lighting,10,17,22.78,53.21,5.3665,5.9891,0.032141
Smart Thermostat,21,10,15.17,20.7,3.1195,2.6623,0.008305
Wearable Device,12,26,28.4,25.93,0.2531,6.4408,0.00163
Smart Camera,0,7,22.71,76.53,9.8474,1.4543,0.014321
Smart Thermostat,16,16,34.83,74.0,1.9397,3.7287,0.007233
Agricultural Sensor,5,1,15.65,84.06,3.3258,1.7107,0.005689
EV Charger,3,17,30.79,79.82,59.2963,2.3432,0.138943
Smart Camera,19,21,40.42,67.82,8.3305,2.3107,0.019249
Smart Camera,15,29,19.71,23.66,7.0177,1.1105,0.007793
Wearable Device,14,9,27.73,74.8,0.3418,4.5429,0.001553
Industrial Sensor,14,6,17.47,79.19,13.3867,2.7331,0.036587
Wearable Device,5,19,31.89,75.94,0.3556,1.4883,0.000529
Agricultural Sensor,14,13,29.86,55.59,3.0411,5.2609,0.015999
Health Monitor,13,3,26.0,36.3,0.7138,4.0536,0.002893
Health Monitor,10,7,29.08,79.17,1.0646,5.0502,0.005376
Industrial Sensor,6,22,39.21,70.9,16.5248,1.8097,0.029905
Agricultural Sensor,8,9,20.3,88.65,3.1518,5.9944,0.018893
Industrial Sensor,15,22,15.61,30.9,14.1576,5.7269,0.081079
Smart Meter,4,5,38.26,35.8,1.9328,1.778,0.003437
Health Monitor,19,10,30.58,34.83,0.8141,5.5133,0.004488
Smart Camera,9,23,39.05,75.48,7.5709,7.0511,0.053383
Smart Lighting,17,17,31.12,33.08,6.1292,3.5649,0.02185
EV Charger,2,12,36.87,24.67,50.4006,1.3943,0.070274
Agricultural Sensor,12,23,26.6,89.9,2.4261,6.1875,0.015011
Smart Thermostat,10,16,35.25,21.74,2.6333,4.7522,0.012514
Industrial Sensor,16,3,39.65,78.47,15.4777,0.711,0.011005
EV Charger,21,30,30.45,45.58,52.7496,7.1977,0.379676
Smart Thermostat,12,25,19.88,78.91,2.7129,0.3932,0.001067
EV Charger,5,31,22.26,58.82,56.6346,2.4549,0.139032
Smart Lighting,16,22,20.36,83.11,4.3905,6.1445,0.026977
Smart Thermostat,12,9,21.67,84.83,2.6248,7.6796,0.020157
Wearable Device,18,29,23.27,20.64,0.358,0.5777,0.000207
Edge Gateway,20,15,29.99,25.28,27.1374,4.8652,0.132029
Wearable Device,18,5,30.88,37.53,0.2874,3.5299,0.001014
Health Monitor,9,23,26.52,66.85,0.6605,2.762,0.001824
Edge Gateway,2,13,31.62,82.18,32.6438,0.3754,0.012254
Wearable Device,13,14,17.2,52.2,0.293,4.595,0.001346
Edge Gateway,18,20,17.37,62.49,30.2251,3.9344,0.118918
Edge Gateway,4,15,19.64,33.19,26.3867,0.4204,0.011093
Smart Camera,4,16,28.99,76.35,9.862,2.0255,0.019975
Industrial Sensor,19,23,20.78,87.71,14.2567,5.9798,0.085252
Industrial Sensor,16,13,22.65,38.8,13.3782,6.2115,0.083099
Smart Camera,20,17,25.81,54.64,8.313,7.3024,0.060705
EV Charger,9,23,36.92,26.03,49.7419,3.3848,0.168366
Smart Meter,4,8,15.37,59.14,2.0773,3.1017,0.006443
EV Charger,3,21,32.53,55.19,44.8315,2.8248,0.12664
Smart Thermostat,5,2,33.06,30.11,2.5193,1.0269,0.002587
Smart Thermostat,3,5,36.56,50.94,2.1049,0.5933,0.001249
Edge Gateway,6,6,40.18,43.39,34.4461,1.4658,0.050491
Wearable Device,6,12,15.54,56.53,0.2263,1.36,0.000308
Wearable Device,17,18,19.15,61.0,0.3266,4.6982,0.001534
Industrial Sensor,2,30,38.93,20.59,12.6294,1.9335,0.024419
Agricultural Sensor,0,22,27.38,73.27,3.1689,2.46,0.007795
EV Charger,23,22,30.24,69.91,52.6814,1.7013,0.089627
Health Monitor,3,1,32.9,45.64,0.6477,0.4212,0.000273
Smart Lighting,5,30,33.33,23.71,6.8142,2.8022,0.019095
Wearable Device,8,17,40.16,72.85,0.3861,2.5971,0.001003
Smart Lighting,21,30,41.92,86.86,8.0023,7.8232,0.062604
Edge Gateway,13,11,34.44,36.81,21.9941,1.0811,0.023778
Smart Lighting,11,10,22.75,42.65,7.5278,7.7202,0.058116
Health Monitor,19,19,38.75,32.87,0.9641,0.869,0.000838
Smart Camera,23,14,16.33,60.39,10.2381,0.8201,0.008396
Health Monitor,3,26,21.24,30.84,0.8048,0.2372,0.000191
Smart Lighting,20,10,39.23,44.93,6.8136,5.7204,0.038977
Health Monitor,23,15,21.92,68.79,1.0095,2.7769,0.002803
Smart Meter,11,28,20.96,59.21,2.2402,3.5792,0.008018
Edge Gateway,9,19,18.73,47.05,24.2918,7.4853,0.181831
EV Charger,21,4,38.2,49.42,43.2583,4.8134,0.20822
Smart Camera,6,2,28.5,59.35,8.4011,2.0808,0.017481
Wearable Device,2,9,33.22,20.41,0.3025,2.7615,0.000835
Smart Thermostat,22,10,21.45,25.5,2.2298,2.4947,0.005563
EV Charger,13,28,35.47,81.69,42.5331,2.9487,0.125417
Smart Thermostat,23,11,35.52,25.45,3.2857,2.9528,0.009702
Edge Gateway,9,14,23.44,69.48,19.3465,7.2676,0.140603
Smart Camera,15,7,26.09,84.4,9.7369,7.8642,0.076573
Industrial Sensor,15,23,20.66,38.95,9.8683,7.2745,0.071787
Wearable Device,21,15,41.37,45.93,0.3062,1.1562,0.000354
Smart Meter,9,22,32.43,59.82,1.4478,6.6574,0.009639
Industrial Sensor,12,31,40.23,81.72,11.613,3.3877,0.039341
Edge Gateway,5,19,23.19,85.93,29.5482,3.2209,0.095172
EV Charger,11,22,36.11,71.77,59.9829,3.881,0.232794
Smart Meter,8,15,35.68,26.06,1.6503,4.5253,0.007468
Health Monitor,12,30,33.67,66.84,0.8458,4.3352,0.003667
Smart Lighting,3,28,41.07,48.72,6.5979,1.1067,0.007302
Smart Meter,23,24,25.63,52.95,2.2663,0.3271,0.000741
Edge Gateway,10,8,18.53,23.44,28.7624,7.2256,0.207826
Agricultural Sensor,19,11,33.14,33.37,3.4721,6.4911,0.022538
Smart Lighting,17,29,34.69,75.34,7.146,1.2523,0.008949
Smart Thermostat,10,9,30.53,51.78,3.1858,6.2865,0.020028
Wearable Device,20,15,20.58,41.12,0.2183,5.0942,0.001112
Smart Thermostat,3,1,28.62,46.88,2.487,1.3829,0.003439
Smart Meter,17,30,23.43,79.81,2.2766,2.1568,0.00491
Smart Thermostat,0,1,26.54,72.43,2.9637,2.8067,0.008318
Edge Gateway,6,19,32.42,39.06,27.4869,2.3026,0.063291
Health Monitor,5,3,35.12,28.23,0.8846,1.8209,0.001611
EV Charger,14,10,21.27,37.64,41.6881,4.9656,0.207006
Wearable Device,17,8,25.94,84.45,0.3154,0.8694,0.000274
Smart Thermostat,23,15,22.27,60.71,2.7762,1.5876,0.004407
Smart Thermostat,10,10,20.36,57.34,2.4069,1.6802,0.004044
Smart Meter,19,1,36.15,61.75,2.2077,1.7962,0.003965
EV Charger,23,29,39.55,45.62,60.0,2.1797,0.130782
Industrial Sensor,14,18,25.0,76.5,9.962,7.3489,0.07321
Smart Thermostat,15,2,35.28,56.63,2.6452,3.3397,0.008834
Edge Gateway,6,19,39.22,28.17,26.2655,0.7465,0.019607
Agricultural Sensor,20,13,37.85,29.03,3.9031,5.2751,0.020589
Wearable Device,9,22,19.94,57.58,0.2591,7.0324,0.001822
Smart Thermostat,11,1,40.82,85.56,3.0171,6.0617,0.018289
Edge Gateway,23,2,25.17,41.58,31.4608,2.8353,0.089201
Edge Gateway,13,29,24.16,80.87,24.5416,4.3888,0.107708
Wearable Device,4,16,16.69,73.49,0.367,2.4659,0.000905
Industrial Sensor,20,15,28.13,37.35,16.1613,1.2565,0.020307
Edge Gateway,17,13,17.94,22.54,19.3182,2.9014,0.05605
Agricultural Sensor,4,16,21.71,27.13,2.7579,1.321,0.003643
Edge Gateway,2,17,23.56,70.99,32.273,1.7057,0.055048
Edge Gateway,22,21,36.84,33.98,34.589,7.4897,0.259061
Edge Gateway,4,29,38.64,45.99,21.2911,2.8528,0.060739
Health Monitor,23,29,23.17,55.12,0.5925,0.5151,0.000305
Health Monitor,16,7,38.18,70.78,0.7118,1.515,0.001078
Industrial Sensor,18,24,38.15,27.93,16.992,2.9754,0.050558
Smart Thermostat,18,26,35.65,48.45,2.227,2.4469,0.005449
Edge Gateway,20,17,18.96,53.96,25.1,5.0067,0.125668
EV Charger,11,7,33.64,57.86,58.255,7.2819,0.424207
Smart Thermostat,8,13,40.52,77.29,2.0249,7.7521,0.015697
Industrial Sensor,0,5,33.43,32.02,13.7148,2.1554,0.029561
Smart Camera,17,26,23.95,76.55,7.6301,6.7715,0.051667
Smart Thermostat,20,17,28.52,68.5,3.1767,4.2991,0.013657
Smart Thermostat,3,3,32.43,58.91,2.3511,0.7483,0.001759
Smart Lighting,9,7,28.79,68.97,6.9999,4.295,0.030065
Smart Meter,6,26,18.24,48.84,1.9767,1.8441,0.003645
Smart Lighting,21,17,23.43,29.69,5.1763,6.0154,0.031138
Agricultural Sensor,22,7,36.66,66.6,2.5736,1.8871,0.004857
Health Monitor,0,21,38.26,56.73,0.8373,1.2539,0.00105
Health Monitor,16,1,18.71,64.76,0.7045,3.0258,0.002132
Smart Meter,23,17,40.71,43.66,2.365,3.1218,0.007383
Wearable Device,1,30,23.88,83.48,0.3615,1.4929,0.00054
Wearable Device,10,17,32.88,61.12,0.3148,6.1152,0.001925
Industrial Sensor,8,11,35.3,25.98,13.8548,6.0814,0.084257
Smart Meter,6,25,36.92,51.49,2.0919,0.9291,0.001944
Smart Thermostat,21,27,40.54,72.94,3.3111,4.6678,0.015456
Wearable Device,16,29,23.45,75.59,0.2946,7.215,0.002126
Edge Gateway,16,3,38.18,54.62,24.0464,3.9041,0.09388
EV Charger,1,15,18.56,82.63,38.9752,3.0766,0.119911
Smart Thermostat,5,29,34.04,38.74,2.7602,0.7677,0.002119
Agricultural Sensor,13,21,35.03,48.74,3.377,0.7359,0.002485
Edge Gateway,5,11,33.3,82.9,26.0236,2.907,0.075651
Edge Gateway,1,26,21.81,82.74,19.4944,2.7687,0.053974
Smart Meter,0,28,38.57,68.0,2.2385,3.2266,0.007223
Industrial Sensor,9,16,19.56,80.13,10.0942,5.5172,0.055692
Agricultural Sensor,20,25,16.45,26.21,2.6177,7.5498,0.019763
Wearable Device,4,22,34.37,80.55,0.3088,2.7032,0.000835
Smart Meter,1,28,27.84,42.44,1.5947,2.7584,0.004399
Wearable Device,21,9,37.93,32.48,0.3465,4.6462,0.00161
Smart Meter,15,24,25.35,36.76,1.728,3.1707,0.005479
Smart Meter,1,24,19.54,49.26,1.7572,3.0432,0.005348
Smart Meter,9,1,37.58,37.58,2.0226,3.5637,0.007208
Industrial Sensor,1,29,29.82,42.44,10.5607,1.7927,0.018932
Smart Meter,15,25,20.11,29.45,1.4583,3.6743,0.005358
Smart Camera,15,22,34.45,40.73,11.2156,4.6121,0.051727
EV Charger,18,16,28.8,60.06,45.6424,3.867,0.176499
Wearable Device,6,9,31.32,50.93,0.3041,0.2416,7.3e-05
Smart Thermostat,21,19,27.44,44.27,1.923,7.1182,0.013688
Smart Lighting,11,12,37.38,72.25,6.5878,3.6607,0.024116
Agricultural Sensor,23,19,37.4,82.55,3.6268,1.9511,0.007076
Health Monitor,14,22,34.15,72.98,0.8949,1.2496,0.001118
Industrial Sensor,7,9,17.85,43.24,13.3755,0.1007,0.001347
Smart Thermostat,5,7,37.65,72.11,2.2445,0.8651,0.001942
Edge Gateway,9,14,33.12,30.64,23.1102,5.7162,0.132103
Smart Camera,2,29,33.82,29.12,10.8156,0.4035,0.004364
Health Monitor,18,19,24.8,44.19,1.0378,7.3302,0.007607
Smart Lighting,16,19,38.74,76.54,5.2573,1.8487,0.009719
Smart Thermostat,6,2,34.59,37.24,2.7079,0.7365,0.001994
Health Monitor,20,9,18.04,24.43,0.6678,1.5839,0.001058
Smart Thermostat,19,13,26.01,29.22,1.9456,0.2605,0.000507
Smart Camera,3,15,38.93,80.11,8.4742,2.5289,0.02143
Smart Lighting,13,3,16.27,64.36,4.723,7.0628,0.033358
Edge Gateway,19,11,40.96,37.72,31.3041,5.0019,0.15658
Smart Meter,21,21,33.34,58.87,1.9779,1.6368,0.003237
Wearable Device,14,14,32.05,56.93,0.256,2.4037,0.000615
Edge Gateway,23,30,22.31,65.88,18.3512,1.5939,0.02925
Smart Meter,7,25,21.72,36.32,2.153,3.1057,0.006687
Industrial Sensor,20,8,40.44,80.51,10.9073,2.1041,0.02295
EV Charger,14,18,23.05,41.66,48.8774,5.93,0.289843
Agricultural Sensor,21,19,35.94,68.59,3.1679,3.6216,0.011473
Agricultural Sensor,19,16,25.61,21.13,3.482,2.503,0.008715
Wearable Device,13,2,18.76,46.09,0.2688,3.7517,0.001008
Smart Lighting,8,8,15.29,44.62,4.5071,0.7125,0.003211
Smart Camera,7,22,29.69,58.04,7.5755,2.6139,0.019802
Smart Lighting,16,6,41.35,25.09,5.5226,2.0721,0.011443
Smart Camera,1,12,24.97,75.31,8.4282,2.3823,0.020079
Smart Lighting,23,15,24.64,35.24,6.7544,0.306,0.002067
EV Charger,2,25,24.29,67.39,40.1146,3.1081,0.12468
Industrial Sensor,7,8,29.05,76.22,9.1346,0.6999,0.006393
Industrial Sensor,11,4,26.9,59.33,12.6663,7.1237,0.090231
Smart Meter,0,15,38.76,71.86,2.112,2.6479,0.005592
Health Monitor,9,28,28.65,66.33,1.0656,7.7961,0.008308
Industrial Sensor,19,20,28.71,44.89,13.2912,3.9253,0.052172
Industrial Sensor,2,25,18.74,76.62,11.8187,2.3886,0.02823
Edge Gateway,5,17,41.53,40.63,29.2013,1.2614,0.036835
Edge Gateway,6,13,21.75,59.98,31.6476,0.6726,0.021286
Smart Meter,19,18,16.98,72.18,2.121,3.6503,0.007742
Health Monitor,22,2,32.9,46.53,0.7735,1.4594,0.001129
Wearable Device,17,13,31.07,41.19,0.2718,7.9082,0.002149
Edge Gateway,10,13,26.21,52.15,22.4864,0.9103,0.020469
Wearable Device,18,22,26.4,77.26,0.3133,4.8048,0.001505
Smart Thermostat,4,15,36.2,85.09,3.1137,2.0696,0.006444
Edge Gateway,18,20,20.28,58.16,25.2832,4.4008,0.111266
EV Charger,10,29,37.15,66.3,37.2083,5.3813,0.200229
Health Monitor,23,27,32.52,83.23,0.9687,0.4571,0.000443
Smart Meter,11,10,26.31,26.9,2.2017,4.5346,0.009984
Smart Thermostat,9,29,27.37,36.25,2.302,2.419,0.005569
Health Monitor,7,3,21.93,69.62,0.8909,3.061,0.002727
EV Charger,23,19,35.31,77.66,46.9225,2.4981,0.117217
Health Monitor,8,3,28.85,79.99,1.0311,7.8329,0.008077
EV Charger,3,22,23.66,49.06,55.3435,0.2087,0.01155
EV Charger,4,14,31.09,26.25,48.6773,0.991,0.048239
Wearable Device,20,8,41.88,50.64,0.3737,1.6938,0.000633
Smart Lighting,7,27,26.75,36.15,7.6321,0.1252,0.000956
Smart Thermostat,22,23,39.86,40.38,2.7739,2.0644,0.005726
Health Monitor,8,30,24.32,74.06,0.7366,5.5123,0.00406
Smart Camera,14,4,16.48,25.29,9.6301,1.9756,0.019025
Smart Thermostat,14,27,20.51,77.93,2.1225,4.1711,0.008853
Smart Lighting,15,28,26.3,49.94,5.8486,7.1638,0.041898
Smart Thermostat,13,20,20.93,61.72,3.0614,5.6307,0.017238
Industrial Sensor,7,11,15.01,26.28,13.2925,1.337,0.017772
Smart Camera,17,26,39.71,43.62,8.9283,3.0925,0.027611
Smart Lighting,9,31,37.78,26.28,5.5309,3.7503,0.020743
Wearable Device,19,11,35.04,87.31,0.2992,1.5486,0.000463
Health Monitor,5,27,19.53,76.51,0.7052,2.0934,0.001476
Agricultural Sensor,11,30,18.25,52.17,2.6046,3.0268,0.007884
Smart Lighting,1,11,16.83,35.65,6.7752,2.7835,0.018859
Smart Meter,6,2,34.55,85.34,1.6754,2.4807,0.004156
Health Monitor,15,30,40.08,44.12,0.8674,4.9731,0.004314
Smart Lighting,2,17,26.62,31.27,5.8485,1.2409,0.007257
Industrial Sensor,12,9,18.22,59.42,15.2851,1.8085,0.027643
Agricultural Sensor,2,28,28.83,86.06,3.164,2.5426,0.008045
Industrial Sensor,17,31,24.42,20.27,9.4045,3.9926,0.037548
Agricultural Sensor,10,28,25.12,36.67,2.5354,1.9255,0.004882
Smart Meter,7,2,31.78,85.69,2.0256,0.7068,0.001432
Health Monitor,5,29,34.41,31.98,0.9161,0.6127,0.000561
Wearable Device,0,24,17.99,27.93,0.2853,2.5458,0.000726
Industrial Sensor,0,15,15.96,59.91,11.3803,0.8136,0.009259
Industrial Sensor,22,16,41.85,80.33,10.0385,4.3105,0.043271
EV Charger,7,25,21.28,53.4,46.0941,1.5169,0.06992
Agricultural Sensor,4,4,16.45,89.62,3.1745,1.9216,0.0061
Edge Gateway,15,8,20.13,67.54,20.1672,7.0795,0.142774
Health Monitor,10,9,16.05,25.19,0.611,7.0052,0.00428
Agricultural Sensor,4,26,25.58,89.5,2.6053,1.5154,0.003948
EV Charger,3,26,36.66,48.55,38.0572,0.1386,0.005275
Smart Thermostat,5,5,24.21,40.12,2.7367,1.4376,0.003934
Agricultural Sensor,13,16,26.99,59.05,2.7632,4.9389,0.013647
Wearable Device,21,13,33.24,41.3,0.2773,4.5563,0.001263
Health Monitor,18,30,28.74,26.05,0.6858,5.2956,0.003632
EV Charger,8,7,38.26,20.1,60.0,1.3672,0.082032
